Employer Name,Employer City,Employer State Code,Employer Zip Code,Workforce Size
CIIF Investment Group LP,City of Industry,CA,91745,10 to 19
"CiiNOW, Inc.",Mountain View,CA,94043,10 to 19
CiM Internet LLC,San Francisco,CA,94132,10 to 19
"Cimarron Office Furniture Services, Inc",Elk Grove,CA,95758,10 to 19
"Cimco A/C & Sheet Metal, Inc.",Santa Fe Springs,CA,90670,20 to 99
"Ciminos Cabinet Doors, Inc",Hollister,CA,95023,20 to 99
Cinelease,Los Angeles,CA,90039,100 to 499
"CINGULAR, INC",DOWNEY,CA,90240,100 to 499
CINTAS,Rancho Dominguez,CA,90220,"5,000 to 9,999"
Cintas - LOC - G37 - Sacramento - Doc Mgt,Sacramento,CA,95834,10 to 19
Cintas - Loc 053 Pico Rivera,Pico Rivera,CA,90660,100 to 499
"Cintas - Loc 054 San Leandro, Ca.",San Leandro,CA,94578,100 to 499
Cintas - Loc 055 Vista,Vista,CA,92083,100 to 499
"Cintas - Loc 057A Oxnard, CA",Oxnard,CA,93030,20 to 99
Cintas - Loc 150 Ontario,Ontario,CA,91761,100 to 499
Cintas - Loc 156 Oakland,Hayward,CA,94545,20 to 99
Cintas - Loc 168,Anaheim,CA,70720,20 to 99
Cintas - Loc 169 Sacramento,Sacramento,CA,95834,10 to 19
"Cintas - Loc 185 Concord, Ca.",Concord,CA,94520,20 to 99
Cintas - Loc 426 El Segundo,El Segundo,CA,90245,20 to 99
"Cintas - Loc 464 South San Francisco, Ca",South San Francisco,CA,94080,20 to 99
Cintas - Loc 621 Fresno,Fresno,CA,93711,20 to 99
"Cintas - Loc 622 Sacramento, Ca.",Sacramento,CA,95835,100 to 499
"Cintas - Loc 626 Santa Rosa, Ca",Santa Rosa,CA,95407,20 to 99
"Cintas - Loc 630 Gilroy, Ca.",Gilroy,CA,95020,100 to 499
Cintas - Loc 640 Tustin,Tustin,CA,92780,20 to 99
Cintas - Loc 668 Bakersfield,Bakersfield,CA,93311,20 to 99
Cintas - Loc 684 Valencia,Valencia,CA,91355,20 to 99
"Cintas - Loc 688 San Jose Clean Room, Ca.",San Jose,CA,95112,20 to 99
Cintas - Loc 693 Whittier,Whittier,CA,90601,20 to 99
Cintas - Loc 694 San Diego,San Diego,CA,92102,100 to 499
Cintas - Loc 698 Ontario,Ontario,CA,91761,20 to 99
"Cintas - Loc 922 Stockton, Ca.",Stockton,CA,95206,20 to 99
Cintas - Loc B60 San Diego,San Diego,CA,92121,10 to 19
Cintas - Loc F19 Anaheim,Anaheim,CA,92807,20 to 99
Cintas - Loc F44/F53 San Jose,San Jose,CA,95131,20 to 99
Cintas - Loc F92 Sacramento Fire,Sacramento,CA,95834,10 to 19
"Cintas - Loc G35 Los Angeles, Ca (Rancho Dominguez, Ca )",Rancho Dominguez,CA,90220,10 to 19
Cintas - LOC G38 - San Jose,Fremont,CA,94538,20 to 99
"Cintas - Loc J88 Palo Alto, Ca.",East Palo Alto,CA,94303,20 to 99
Cintas - Loc K16 San Jose,San Jose,CA,95131,10 to 19
Cintas - LOC K42 - Fresno- Doc Mgt,Sacramento,CA,95834,5 to 9
"Cintas - Loc K58 Hayward, Ca.",Hayward,CA,94545,20 to 99
Cintas - Loc K96 Northwest Mountain,Hayward,CA,94545,10 to 19
Cintas - Loc K98 West Coast Hospitality,Anaheim,CA,92807,5 to 9
"Cintas - Loc W01 Consolidate A/R Sacramento, Ca.",Sacramento,CA,95835,10 to 19
Cintas-LOC G35- Rancho Dominguez- Doc Mgt,Rancho Dominguez,CA,90220,20 to 99
Cintas-LOC G36- San Diego Doc Mgt,San Diego,CA,92121,20 to 99
Cintel Systems,Pleasanton,CA,94588,20 to 99
CINTEL SYSTEMS INC,PLEASANTON,CA,94588,20 to 99
CIP Stampings,Santa Fe Springs,CA,90670,100 to 499
"CipherCloud, Inc",San Jose,CA,95113,20 to 99
"CIPS Marketing Group, Inc.",Los Angeles,CA,90061,20 to 99
Cirana Corporation,Los Angeles,CA,90037,5 to 9
CIRCLE FOODS LLC,SAN DIEGO,CA,92154,100 to 499
Circle G church Farms,Newport beach,CA,92668,20 to 99
"Circle Green, Inc",Ontario,CA,91761,10 to 19
Circle Net International LLC dba Baskin Robbins (#190) - Dunkin Brands,Concord,CA,94518,10 to 19
CirclePoint,Oakland,CA,94612,20 to 99
CirclePoint Technology,Perris,CA,92571,20 to 99
CIRCOR,CORONA,CA,92880,"1,000 to 2,499"
Circor Aerospace Group Headquarters,Corona,CA,92880,100 to 499
"CIRCUIT ENTERPIRSES, INC.",ANAHEIM,CA,92807,5 to 9
"Circuit Logic, Inc.",Escondido,CA,92029,20 to 99
"Cirexx International, Inc.",Santa Clara,CA,95054,100 to 499
Cisco Brothers,Los Angeles,CA,90047,100 to 499
Cisco Consumer Products,Irvine,CA,92617,500 to 999
Cisco Delivery Services Inc,Carson,CA,90745,5 to 9
Cisco Security and Patrol,Aliso Viejo,CA,92656,20 to 99
Cisco Systems,San Jose,CA,95134,"10,000 and over"
"Cisco Systems, Inc.",San Jose,CA,95134,"10,000 and over"
CISD Associates LLC,San Diego,CA,92108,20 to 99
CIT College of InfoMedical Technology,ANAHEIM,CA,92801,20 to 99
Citadel Premium Design Inc.,West Sacramento,CA,95691,5 to 9
"Citadel Security, Inc.",Long Beach,CA,90804,20 to 99
Citilabs,Alameda,CA,94501,20 to 99
CITILABS INC.,OAKLAND,CA,94607,20 to 99
Citilabs Inc.,Mountain View,CA,94040,20 to 99
"CitiStaff Solutions, Inc.",Corona,CA,92882,"1,000 to 2,499"
Citizen Corporation,Ceres,CA,95307,10 to 19
"Citizen Watch Company of America, Inc.",Torrance,CA,90502,100 to 499
Citizens Equity First Credit Union,San Jose,CA,95126,500 to 999
Citizenship and Immigration Services,San Jose,CA,95112,"10,000 and over"
"Citrus Motors, Ontario, Inc.",Ontario,CA,91761,100 to 499
"Citrus Petroleum, Inc.",Redlands,CA,92373,5 to 9
City Baking Co.,South San Francisco,CA,94080,20 to 99
CITY BICYCLE WORKS,SACRAMENTO,CA,95816,20 to 99
city body & frame,riverside,CA,92507,20 to 99
City Body Repairs Inc.,San Jose,CA,95126,5 to 9
"City Building, Inc.",San Francisco,CA,94105,20 to 99
City Chevrolet,San Diego,CA,92110,100 to 499
City Drayage,Sacramento,CA,95834,20 to 99
"CITY HI-TECH, INC",ROSEMEAD,CA,91770,5 to 9
"City Light & Power, Inc.",Long Beach,CA,90806,10 to 19
City of Alameda Healthcare District,Alameda,CA,94501,500 to 999
City of Aliso Viejo,Aliso Viejo,CA,92656,10 to 19
City of Anaheim,Anaheim,CA,92805,"1,000 to 2,499"
City of Banning,Banning,CA,92220,100 to 499
City of Beverly Hills,Beverly Hills,CA,90746,"1,000 to 2,499"
City of Big Bear Lake Department of Water and Power,Big Bear Lake,CA,92315,20 to 99
City of Brea,Brea,CA,92821,500 to 999
City of Buena Park,Buena Park,CA,90621,100 to 499
City of Burbank,Burbank,CA,91510,"1,000 to 2,499"
City of Carmel,Carmel,CA,93921,20 to 99
City of Carmel-by-the-Sea,Carmel,CA,93921,20 to 99
City of Carson,Carson,CA,90745,500 to 999
City of Claremont,Claremont,CA,91711,100 to 499
City of Clayton,Clayton,CA,94517,20 to 99
City of Coachella,Coachella,CA,92236,20 to 99
City of Concord,Concord,CA,94519,500 to 999
City of Corona,Corona,CA,92882,"1,000 to 2,499"
City of Cotati,Cotati,CA,94931,20 to 99
City of Covina,Covina,CA,91724,100 to 499
city of culver city,culver city,CA,90232,500 to 999
City of Daly City - Human Resources,Daly City,CA,94015,500 to 999
City of Diamond Bar,Diamond Bar,CA,91765,100 to 499
City of Downey,Downey,CA,90241,500 to 999
City of El Cerrito,El Cerrito,CA,94530,100 to 499
City of Escondido Human Resources Department,Escondido,CA,92025,500 to 999
City of Fillmore,Fillmore,CA,93015,20 to 99
City of Fortuna,Fortuna,CA,95540,100 to 499
City of Fullerton,Fullerton,CA,92832,500 to 999
City of Galt,Galt,CA,95632,100 to 499
City of Greenfield,Greenfield,CA,93927,20 to 99
City of Healdsburg,Healdsburg,CA,95448,100 to 499
City of Hemet,Hemet,CA,92543,100 to 499
City of Highland,Highland,CA,92346,20 to 99
City of Indio,Indio,CA,92201,100 to 499
City of La Habra,La Habra,CA,90631,500 to 999
City of Laguna Niguel,Laguna Niguel,CA,92677,100 to 499
City of Lake Elsinore,Lake Elsinore,CA,92530,20 to 99
City of Lancaster,Lancaster,CA,93534,100 to 499
City of Lemoore,Lemoore,CA,93245,100 to 499
City of Long Beach Police Department,Long Beach,CA,90802,"1,000 to 2,499"
"City of Los Angeles, Department of Transportation",Los Angeles,CA,90012,"5,000 to 9,999"
CITY OF MENIFEE,MENIFEE,CA,92586,20 to 99
City of Menlo Park,Menlo Park,CA,94025,100 to 499
City of Merced Fire Department,Merced,CA,95340,100 to 499
City of Mission Viejo,Mission Viejo,CA,92691,100 to 499
City of Montebello 6950,City of Montebello,CA,90640,10 to 19
City of Murrieta,Murrieta,CA,92562,100 to 499
City of Novato,Novato,CA,94945,100 to 499
CITY OF OCEANSIDE,OCEANSIDE,CA,92057,500 to 999
City of Orange,Orange,CA,92866,100 to 499
City of Orange Police Department,Orange,CA,92867,100 to 499
City of Oroville,Oroville,CA,95965,100 to 499
City of Palmdale,Palmdale,CA,93550,500 to 999
City of Paso Robles,paso robles,CA,93446,100 to 499
City of Placentia,Placentia,CA,92870,100 to 499
City of Pomona,Pomona,CA,91766,500 to 999
City of Rancho Cucamonga,Rancho Cucamonga,CA,91730,500 to 999
City of Rancho Mirage,Rancho Mirage,CA,92270,100 to 499
City of Reedley,Reedley,CA,93654,100 to 499
City of Riverside,Riverside,CA,92522,"2,500 to 4,999"
City of Rolling Hills Estates,Rolling Hills Estates,CA,90274,20 to 99
CITY OF SAN BERNARDINO EMPLOYMENT & TRAINING AGENCY,SAN BERNARDINO,CA,92401,20 to 99
City of San Clemente,San Clemente,CA,92672,100 to 499
City of San Jacinto,San Jacinto,CA,92583,20 to 99
City of San Juan Capistrano,San Juan Capistrano,CA,92675,100 to 499
City of San Marino,San Marino,CA,91108,100 to 499
CITY OF SAN RAFAEL,San Rafael,CA,94901,500 to 999
City of Santa Ana-Personnel Services,Santa Ana,CA,92701,"1,000 to 2,499"
City of Santa Barbara,Santa Barbara,CA,93101,"1,000 to 2,499"
City of Santa Clarita,Santa Clarita,CA,91355,500 to 999
City of Santa Cruz,Santa Cruz,CA,95060,"1,000 to 2,499"
City of Santa Maria,Santa Maria,CA,93454,500 to 999
CITY OF SANTA ROSA,SANTA ROSA,CA,95404,"1,000 to 2,499"
City of Shafter,Shafter,CA,93263,100 to 499
City of Simi Valley,Simi Valley,CA,93063,500 to 999
City of Stockton Human Resources Department,Stockton,CA,95202,"1,000 to 2,499"
CITY OF SUNNYVALE,SUNNYVALE,CA,94088,500 to 999
City of Taft,Taft,CA,93268,100 to 499
City of Temecula,Temecula,CA,92590,100 to 499
City of Vernon,Vernon,CA,90058,100 to 499
City of Victorville,Victorville,CA,92393,500 to 999
City of Willows,Willows,CA,95963,20 to 99
City of Yorba Linda,Yorba Linda,CA,92886,100 to 499
City Service Contracting Inc.,Placentia,CA,92870,20 to 99
"City Service Contracting, Inc.",Placentia,CA,92870,10 to 19
CITY WELDING,LOS ANGELES,CA,90011,5 to 9
"CityGrid Media, LLC",West Hollywood,CA,90069,20 to 99
Citywide Home Care Inc.,Glendale,CA,91205,10 to 19
Civic Center Home Loans & Realty inc,Whittier,CA,90601,5 to 9
"Civic Center Square, Inc.",Fresno,CA,93721,20 to 99
Civic Resource Group LLC,Los Angeles,CA,90017,10 to 19
Civicorps Schools,Oakland,CA,94607,100 to 499
Civilian Lab LLC,Long Beach,CA,90802,5 to 9
Civilian Personnel Office,Travis AFB,CA,94535,"1,000 to 2,499"
"CivilSource, Inc.",Irvine,CA,92618,20 to 99
"Civiltec Engineering, Inc.",Monrovia,CA,91016,20 to 99
CJ America Inc,commerce,CA,90040,20 to 99
cj omni,South Gate,CA,90280,100 to 499
CJ Omni Inc.,South Gate,CA,90280,20 to 99
CJ Redwood Inc.,Escondido,CA,92025,20 to 99
"CJ Services, Inc.",Norco,CA,92860,10 to 19
"CJR Company, Inc.",Glendale,CA,91202,10 to 19
"CJR Concrete, Inc.",Escondido,CA,92029,20 to 99
"CJS Industrial Maintenance, Inc.",Paramount,CA,90723,20 to 99
"CJs Interiors, Inc.",La Mesa,CA,91942,5 to 9
"CJSeto Support Services, LLC",Ventura,CA,93003,20 to 99
"CJW Construction, Inc.",Santa Ana,CA,92701,10 to 19
CJY Industrial Inc.,Chino,CA,91710,5 to 9
"CKC Laboratories, Inc.",Mariposa,CA,95338,20 to 99
"CKE Restaurants, Inc.",Carpinteria,CA,93013,"10,000 and over"
"CKFIS, Inc.",Los Angeles,CA,90010,20 to 99
CKKM INC,CORONA,CA,92882,20 to 99
Cklass USA Corporation,Chula Vista,CA,91910,20 to 99
"CKM MANAGEMENT GROUP, LLC-Dunkin Brands",Dublin,CA,94568,10 to 19
CKPU-KP Education & Training Trust,Oakland,CA,94612,5 to 9
"CKR Group, Inc",Campbell,CA,95008,20 to 99
CKY INC,SAN PEDRO,CA,90731,10 to 19
CL Coatings Inc,Stanton,CA,90680,20 to 99
"CL Enterprises, Inc.",San Fernando,CA,91340,20 to 99
"CL Knox Inc., dba Advanced Industrial Services",Bakersfield,CA,93308,20 to 99
Claddagh Paving Corporation,Fallbrook,CA,92028,20 to 99
"ClaimRemedi, Inc",Santa Rosa,CA,95407,20 to 99
Clairemont Equipment,San Diego,CA,92111,100 to 499
ClancyJG International,Lancaster,CA,93535,5 to 9
Clara Street Company,San Francisco,CA,94103,20 to 99
CLARCOR AIR FILTRATION INC.,CORONA,CA,92881,20 to 99
Clarcor Air Filtration Products Company dba Purolator Air Filtration,Sacramento,CA,95838,100 to 499
Claremont Country Club,Oakland,CA,94618,100 to 499
Claremont Hotel Club & Spa,Berkeley,CA,94705,500 to 999
"ClariPhy Communications, Inc.",Los Altos,CA,94022,10 to 19
Clarity CA LLC,San Francisco,CA,94105,10 to 19
"Clarity Consultants, a division of Pacific Netsoft, Inc.",Campbell,CA,95008,100 to 499
CLARK & ASSOC,SANTA FE SPRINGS,CA,90670,10 to 19
Clark Construction Group CA - LP,Costa Mesa,CA,92626,100 to 499
"Clark Construction Group California, LP",Northridge,CA,91328,100 to 499
"Clark Family Residential, Inc.",Fresno,CA,93722,10 to 19
Clark Pacific,West Sacramento,CA,95691,100 to 499
Clark Pacific,Fontana,CA,92337,100 to 499
Clark Pest Control of Stockton,Lodi,CA,95240,500 to 999
"Clark Pest Control, Inc",Bakersfield,CA,93301,100 to 499
"Clark Steel Fabricators, Inc.",Lakeside,CA,92040,20 to 99
"CLARKER, INC.",COSTA MESA,CA,92627,10 to 19
Clarklift of California,Santa Fe Springs,CA,90605,20 to 99
"Clarks Drug Store Pharmacy, Inc.",Corning,CA,96021,10 to 19
CLARKS TOWING,SAN JACINTO,CA,92583,5 to 9
CLARMIL MANUFACTURING CORPORATION,HAYWARD,CA,94544,100 to 499
"Clarus Management Solutions, Inc.",Claremont,CA,91711,5 to 9
Clary Business Machines,San Diego,CA,92121,20 to 99
Classic Baby Vegetables LLC,Salinas,CA,93908,20 to 99
Classic Cabinets Inc.,Harbor City,CA,90710,5 to 9
"Classic Cosmetics, Inc.",Chatsworth,CA,91311,100 to 499
"Classic Mill & Cabinet, L.L.C.",Cloverdale,CA,95425,10 to 19
"Classic Parking of Nevada, Inc.",Los Angeles,CA,90007,20 to 99
"Classic Parking, Inc.",Los Angeles,CA,90007,500 to 999
Classic Salads,Salinas,CA,93908,100 to 499
"Classic Wire Cut Co., Inc.",Valencia,CA,91355,100 to 499
Claudias Body & Skin Care Center,Hayward,CA,94545,10 to 19
Clausen and Cobb Management,upland,CA,91786,100 to 499
Clauss Construction,Lakeside,CA,92040,100 to 499
Clayton Industries,City of Industry,CA,91744,100 to 499
CLC Incorporated,Granite Bay,CA,95746,20 to 99
"CLE Electric, Inc.",San Pedro,CA,90732,5 to 9
Clean Cell International,Sunnyvale,CA,94086,10 to 19
Clean Craft Inc,Upland,CA,91786,5 to 9
Clean Cut Landscape,Clovis,CA,93619,20 to 99
"Clean Earth Carpet, Inc.",San Diego,CA,92120,20 to 99
Clean Energy,Seal Beach,CA,90740,100 to 499
Clean Energy Experts,La Jolla,CA,92037,20 to 99
Clean Energy Fuels,Seal Beach,CA,90740,100 to 499
"Clean Energy International, Inc.",Fremont,CA,94538,10 to 19
Clean King Laundry Systems Inc,Sylmar,CA,91342,20 to 99
"Clean Power Finance, Inc",San Francisco,CA,94105,100 to 499
Clean Site Co,Corona,CA,92883,10 to 19
Clean Sweep Janitor Service,Alpine,CA,91901,10 to 19
"Clean-A-Rama Maintenance Service, LLC",San Francisco,CA,94105,20 to 99
CLEANING SUPPLY WAREHOUSE INC,NIPOMO,CA,93444,5 to 9
CleanPage Inc,San Diego,CA,92131,10 to 19
"CleanServ Universal Services, Inc.",Mountain View,CA,94043,20 to 99
CleanStreet,Gardena,CA,90247,100 to 499
Clear an optometric destination,San Mateo,CA,94401,5 to 9
Clear Connection Corporation,Sacramento,CA,95834,100 to 499
"Clear Heart Drilling, Inc.",Santa Rosa,CA,95401,5 to 9
"Clear Spring Farm, Inc.",Rancho Santa Fe,CA,92067,10 to 19
"Clear Task, Inc.",San Francisco,CA,94104,20 to 99
"Clear View Technologies, Inc.",San Jose,CA,95131,10 to 19
Clear Vision Information Systems,Westlake Village,CA,91361,20 to 99
"ClearCapital.com, Inc.",Truckee,CA,96161,100 to 499
"ClearPath Workforce Management, Inc.",Manteca,CA,95337,500 to 999
ClearPoint Business Resources,Colton,CA,92324,100 to 499
Clearpoint business resources,ontario,CA,91761,100 to 499
Clearpoint Business Resources,Carson,CA,90745,500 to 999
Clearpoint Business Resourses,Chino,CA,91710,100 to 499
"Clearwater Construction Services, Inc.",Cameron Park,CA,95682,10 to 19
CLEARWATER PIPELINE INC,PERRIS,CA,92571,20 to 99
ClearWater Tech LLC,San Luis Obispo,CA,93401,20 to 99
"Cleary Consultants, Inc.",Los Altos,CA,94022,10 to 19
Cleatech LLC,Santa Ana,CA,92705,5 to 9
Cleator Corporation,San Diego,CA,92121,20 to 99
"Clemons Electric, Inc.",Yorba Linda,CA,92886,10 to 19
Cleveland Golf,Huntington Beach,CA,92647,100 to 499
Clevenger Geoconsulting,San Diego,CA,92127,10 to 19
"Clickatell, Inc",Redwood City,CA,94065,100 to 499
"ClientFirst Consulting Group, LLC",Corona,CA,92881,10 to 19
Cliffdale Mfg. Inc.,Chatsworth,CA,91311,20 to 99
Cliffstar LLC,Fontana,CA,92337,100 to 499
Climate Action Reserve,Los Angeles,CA,90071,20 to 99
Climate Earth,Berkeley,CA,94704,5 to 9
CLIMB Work Activity Center,Alhambra,CA,91801,20 to 99
"ClinDatrix, Inc.",Irvine,CA,92618,20 to 99
"Clinical Laboratory of San Bernardino, Inc.",Grand Terrace,CA,92313,20 to 99
CliniComp Intl.,San Diego,CA,92121,100 to 499
Cliniprostaffing,Van Nuys,CA,91411,20 to 99
Cliniqa Corporation,San Marcos,CA,92078,20 to 99
"Clint Precision Mfg., Inc.",San Diego,CA,92121,10 to 19
"ClioSoft, Inc.",Fremont,CA,94539,5 to 9
Clip House,South El Monte,CA,91733,5 to 9
Clipper Corporation,Carson,CA,90745,20 to 99
"ClipperCreek, Inc.",Auburn,CA,95603,5 to 9
"Clixtr, Inc.",Palo Alto,CA,94301,10 to 19
"Clk, Inc.",Palm Desert,CA,92260,"1,000 to 2,499"
"Clontech Laboratories, Inc.",Mountain View,CA,94043,100 to 499
Clothey and Sons Gunsmithing,El Cajon,CA,92021,5 to 9
Cloud Sea Investment Corp.,City of Industry,CA,91745,10 to 19
"Cloud9 Analytics, Inc.",Redwood City,CA,94065,20 to 99
"Cloudera, Inc.",Palo Alto,CA,94306,100 to 499
"Cloudian, Inc.",Foster City,CA,94404,10 to 19
CloudOn,Mountain View,CA,94041,10 to 19
"Cloudwick Technologies, Inc.",Newark,CA,94560,10 to 19
Clougherty Packing Company,Los Angeles,CA,90058,"1,000 to 2,499"
Clover Stornetta Farms Inc,Petaluma,CA,94952,100 to 499
Clovis Hampton Inn & Suites,Clovis,CA,93612,20 to 99
Clovis Homewood Suites,Clovis,CA,93612,20 to 99
Clovis Movies 8,Clovis,CA,93612,20 to 99
Clovis Smog Shop,Clovis,CA,93612,5 to 9
CLP Anaheim #054,Anaheim,CA,92805,"5,000 to 9,999"
CLP Bakersfield #160,Bakersfield,CA,93309,"5,000 to 9,999"
CLP Emeryville #022,Emeryville,CA,94608,"5,000 to 9,999"
CLP Fresno #135,Fresno,CA,73711,"5,000 to 9,999"
CLP Los Angeles #056,Los Angeles,CA,90034,"5,000 to 9,999"
CLP Redwood City #021,Redwood City,CA,94063,"5,000 to 9,999"
CLP Sacramento #126,Sacramento,CA,95825,"5,000 to 9,999"
CLP San Diego #055,San Diego,CA,92123,"5,000 to 9,999"
CLP San Rafael #028,San Rafael,CA,94903,"5,000 to 9,999"
CLP Van Nuys #052,Van Nuys,CA,91406,"5,000 to 9,999"
CLP Ventura #051,Ventura,CA,93003,"5,000 to 9,999"
CLS DELIVERY INC,WEST SACRAMENTO,CA,95691,5 to 9
CLS Landscape Management,Chino,CA,91710,100 to 499
Club Anitas,Escondido,CA,92025,10 to 19
"Club Assist US, LLC",Culver City,CA,90230,100 to 499
Club Demonstration Services,San Diego,CA,92117,"10,000 and over"
"Club Demonstration Services, Inc.",San Diego,CA,92123,500 to 999
Club One,San Francisco,CA,94105,20 to 99
Club One,San Francisco,CA,94105,"2,500 to 4,999"
Club One,San Francisco,CA,94105,"1,000 to 2,499"
"Club One Casino, Inc.",Fresno,CA,93721,100 to 499
"Clustrix, Inc",San Francisco,CA,94105,20 to 99
Clydco Trucking inc,san bernardino,CA,92407,10 to 19
CM Electric AV Automations Inc,Chula Vista,CA,91911,5 to 9
"CM Firestop, Inc",San Diego,CA,92111,10 to 19
"CMA Fire Protection, dba RLH Fire Protection",Bakersfield,CA,93308,100 to 499
CMAC CONSTRUCTION COMPANY,LONG BEACH,CA,90813,20 to 99
CMAC Construction Company,Long Beach,CA,90813,20 to 99
CMCFRAMING INC.,CARLSBAD,CA,92009,5 to 9
"CMCI Masonry Construction, Inc.",Riverside,CA,92507,5 to 9
CMH Manufacturing West Inc.,Perris,CA,92571,100 to 499
"CMH Manufacturing West, Inc",Perris,CA,92571,100 to 499
"CMI Transportation, Inc.",Perris,CA,92570,10 to 19
"CMI USA, Inc.",Chino,CA,91710,20 to 99
CML Media Corp.,Los Angeles,CA,90025,20 to 99
"CMR Business Consulting, LLC",Alhambra,CA,91803,5 to 9
"CMS CIRCUIT SOLUTIONS, INC.",MURRIETA,CA,92562,5 to 9
CMS Engineering Inc.,Huntington Beach,CA,92649,5 to 9
CMSoft Inc,Palo Alto,CA,94303,5 to 9
"CMT Alpine Electric, Inc.",El Cajon,CA,92020,10 to 19
CNB TECHNOLOGY USA INC,LONG BEACH,CA,90805,10 to 19
"CNC ENGINEERING, INC",LAKE ELSINORE,CA,92530,10 to 19
cnc machining inc.,goleta,CA,93117,10 to 19
CNC Manufacturing,San Diego,CA,92154,5 to 9
cnc puma corp,Temecula,CA,92590,20 to 99
"CNFJ Human Resources Satellite Office Atsugi, Singapore Support Office",FPO AP,CA,96534,100 to 499
CNR Enterprises Inc.,Bakersfield,CA,93309,20 to 99
CNR Solutions,Bakersfield,CA,93307,5 to 9
CNRSW,San Diego,CA,92152,"10,000 and over"
"CNS Industries, Inc.",Valencia,CA,91355,20 to 99
CO-OP Financial Services,Rancho Cucamonga,CA,91730,100 to 499
"Co2cool, Inc.",San Diego,CA,92111,5 to 9
Coach America,San Diego,CA,92105,20 to 99
Coach Royal,Santa Ana,CA,92704,5 to 9
"Coachella Valley Escrow, Inc",La Quinta,CA,92253,10 to 19
Coachella Valley Mosquito & Vector Control District,Indio,CA,92201,20 to 99
"CoaguSense, Inc.",Fremont,CA,94538,5 to 9
Coalition of Orange County Community Clinics,Irvine,CA,92614,10 to 19
Coast Aluminum - Fresno,Fresno,CA,93725,20 to 99
Coast Aluminum - Hayward,Hayward,CA,94544,100 to 499
Coast Aluminum - Santa Fe Springs,Santa Fe Springs,CA,90670,100 to 499
Coast Bridge Logistics,City of Industry,CA,91746,10 to 19
Coast Community College District (Coastline Community College),Fountain Valley,CA,92708,500 to 999
Coast Composites,Irvine,CA,92618,100 to 499
"Coast Composites, inc.",Santa Ana,CA,92705,100 to 499
Coast Counties Glass,Monterey,CA,93940,20 to 99
"Coast Diving Service, Inc.",San Pedro,CA,90731,10 to 19
Coast Flight Training and Management Inc,San Diego,CA,92123,10 to 19
"COAST HEALTHCARE MANAGEMENT, LLC",LAKEWOOD,CA,90712,20 to 99
"Coast Index Co., Inc.",Newbury Park,CA,91320,20 to 99
Coast King Packing LLC,Salinas,CA,93901,100 to 499
Coast National Bank,San Luis Obispo,CA,93401,100 to 499
Coast Neurosurgical Associates,Long Beach,CA,90806,10 to 19
Coast Personnel Services,Santa Clara,CA,95050,"1,000 to 2,499"
Coast Plating Inc.,Gardena,CA,90248,100 to 499
"COAST PRECISION ENTERPRISES, INC.",SAN DIEGO,CA,92121,20 to 99
Coast Produce Company,Los Angeles,CA,90021,100 to 499
"Coast Recreation, Inc.",Costa Mesa,CA,92626,5 to 9
"Coast Redwood Management, Inc",Ben Lomond,CA,95005,10 to 19
Coast Rehabilitation Services,Santa Barbara,CA,93111,5 to 9
COAST SIGN INC,ANAHEIM,CA,92802,100 to 499
Coast to Coast Computer Products Inc.,Simi Valley,CA,93063,100 to 499
"Coast to Coast Lawn Care, Inc.",Irvine,CA,92606,10 to 19
Coastal Arches Inc,Paso Robles,CA,93446,100 to 499
"Coastal Coatings, Inc.",San Diego,CA,92113,20 to 99
Coastal Communities Hospital,Santa Ana,CA,92701,500 to 999
Coastal Construction & Lumber Inc.,San Jose,CA,95112,100 to 499
Coastal Cooling LLC,Fremont,CA,94538,5 to 9
"Coastal Decking, Inc.",National City,CA,91950,10 to 19
Coastal Demo Inc.,Grover Beach,CA,93433,5 to 9
Coastal Emnbroidery Inc,Camarillo,CA,93010,5 to 9
"Coastal Flooring, Inc.",Chula Vista,CA,91910,5 to 9
Coastal Marine Services Inc,San Diego,CA,92113,100 to 499
Coastal Neurological Medical Group,La Jolla,CA,92037,5 to 9
Coastal Pacific Enterprises Inc.,Santee,CA,92071,5 to 9
"Coastal Pacific Food Distributors, Inc.",Stockton,CA,95206,100 to 499
"Coastal Pacific Food Distributors, Inc.",Stockton,CA,95206,500 to 999
"Coastal Payroll Services, Inc.",San Diego,CA,92111,5 to 9
"COASTAL RESTAURANTS DEVELOPMENT, LLC",La Mirada,CA,90638,100 to 499
Coaster Co. of America,Santa Fe Springs,CA,90670,500 to 999
Coastline Protection & Investigations,San Diego,CA,92116,20 to 99
Coastline Steel Corp.,Compton,CA,90221,10 to 19
"Coastline Travel Advisors, Inc.",Garden Grove,CA,92840,5 to 9
Coastwise Restaurants Development LLC,La Mirada,CA,90638,10 to 19
Coating Specialists and Inspection Services,Santa Clarita,CA,91390,10 to 19
Cobalt Construction Company,Simi Valley,CA,93065,100 to 499
Cobalt Technologies Inc,Mountain View,CA,94043,20 to 99
cobb waterblasting inc,orange,CA,92868,20 to 99
"Cobblestone Staffing Solutions, Inc.",Santa fe Springs,CA,90670,100 to 499
COBHAM,San Jose,CA,95138,100 to 499
"Cobham Composite Products, Inc",San Diego,CA,92121,100 to 499
"Cobra Systems, Inc.",Anaheim,CA,92807,10 to 19
"COCONTINENTAL COMMERCIAL PRODUCTS, LLC",CHINO,CA,91708,10 to 19
